"","Actinomyces-naeslundii","Actinomyces-oris","Actinomyces-sp.-oral-taxon-171","Actinomyces-sp.-oral-taxon-414","Actinomyces-sp.-oral-taxon-897","Aerococcus-urinaeequi","Aerococcus-viridans","Bacillus-cereus","Brevibacterium-linens","Brevundimonas-diminuta","Brevundimonas-vesicularis","Cardiobacterium-hominis","Chryseobacterium-gleum","Chryseobacterium-indologenes","Chryseobacterium-taklimakanense","Corynebacterium-doosanense","Corynebacterium-jeikeium","Corynebacterium-sanguinis","Corynebacterium-simulans","Corynebacterium-singulare","Corynebacterium-stationis","Corynebacterium-striatum","Corynebacterium-ureicelerivorans","Corynebacterium-variabile","Corynebacterium-xerosis","Cutibacterium-acnes","Cutibacterium-avidum","Dermacoccus-nishinomiyaensis","Dolosigranulum-pigrum","Epidermidibacterium-keratini","Fusobacterium-nucleatum","Gardnerella-vaginalis","Gemella-haemolysans","Gordonia-bronchialis","Gordonia-terrae","Haematobacter-massiliensis","Haemophilus-parainfluenzae","Klebsiella-aerogenes","Lactobacillus-delbrueckii","Lactobacillus-iners","Lactobacillus-reuteri","Lactococcus-lactis","Lautropia-mirabilis","Lawsonella-clevelandensis","Leptotrichia-sp.-oral-taxon-212","Leptotrichia-wadei","Lysobacter-oculi","Malassezia-furfur","Malassezia-restricta","Massilia-oculi","Moraxella-osloensis","Neisseria-elongata","Neisseria-mucosa","Neisseria-subflava","Pantoea-dispersa","Porphyromonas-gingivalis","Prevotella-denticola","Prevotella-intermedia","Prevotella-melaninogenica","Pseudomonas-aeruginosa","Pseudomonas-mendocina","Pseudomonas-monteilii","Pseudopropionibacterium-propionicum","Rothia-aeria","Rothia-dentocariosa","Rothia-mucilaginosa","Schaalia-odontolytica","Staphylococcus-aureus","Staphylococcus-haemolyticus","Staphylococcus-pettenkoferi","Staphylococcus-saprophyticus","Staphylococcus-sciuri","Staphylococcus-warneri","Streptococcus-cristatus","Streptococcus-mitis","Streptococcus-pneumoniae","Streptococcus-sanguinis","Streptococcus-thermophilus","Tannerella-sp.-oral-taxon-HOT-286","Tsukamurella-tyrosinosolvens","Veillonella-parvula","Weissella-confusa"
"sample_35",0,0.148598684683696,0.445796054051087,0,0,0,0,0,0.0495328948945653,2.03084869067718,1.48598684683696,0,0,0,0,0,0.346730264261957,0,0.0495328948945653,0,0,0.0495328948945653,0,0,0,41.1618356573837,0.445796054051087,0.643927633629348,0,0.198131579578261,0,0,0,0,0,0.297197369367392,0.94112500299674,0.84205921320761,0,0,0.643927633629348,0.84205921320761,0.247664474472826,0.495328948945653,0,0,0,0.594394738734783,6.09254607203153,0.247664474472826,7.33086844439566,0,0.247664474472826,0,0,0,0.297197369367392,0,0,5.59721712308588,0.544861843840218,0.396263159156522,0.198131579578261,0.891592108102175,0.396263159156522,0,0.94112500299674,0.396263159156522,3.86356580177609,0,0.990657897891305,0,2.92244079877935,0,0,0,1.33738816215326,0,0,0.247664474472826,0,0
"sample_36",0,0,0,0,0,0,4.81145549273218,0,0,0.237184425698065,0,0,0,0,0,0,0,0,0,0,0,0,20.194559673721,0,0,18.0598998424384,0,0,0,0,0,3.32058195977291,0,0,0,0,0,0.271067915083503,0,5.15029038658656,0,0,0,0.0677669787708757,0,0,0,0,20.9399964402006,0,5.08252340781568,0,0,0,0,0,0,0,0,15.9591235005412,0.0338834893854379,5.4552417910555,0,0,0,0,0,0,1.86359191619908,5.76019319552444,0,0,0,0,0,0,0,0,0,0,0,0
"sample_37",0,0,0,0,0,0,0,0,0,0.0573206321703364,0.0143301580425841,0,0,0,0,0,0,0,0,0,0,0,0.0716507902129205,0.0143301580425841,0.0429904741277523,1.71961896511009,0.0286603160851682,0,0,0,0,0.0859809482555046,0,0,0,0,0.0143301580425841,0.114641264340673,0,0.300933318894266,0,0.0143301580425841,0.0286603160851682,0.0429904741277523,0,0,0,0,0.401244425192355,0.0716507902129205,1.37569517208807,0,0,0.0286603160851682,0,0,0,0,0,0.0286603160851682,0.0286603160851682,0.0286603160851682,0,0,0,0.214952370638761,0,0.0286603160851682,0,0,0,0.128971422383257,0,0,0,0,0,0,0,0,0.0286603160851682,0.0286603160851682
"sample_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185283087853829,0,0,0.988176468553754,0,0,0.0308805146423048,0,0,0,0.0308805146423048,0,0,0,0.0617610292846096,0,0,0.0308805146423048,0,0.0308805146423048,0,0.0926415439269145,0,0,0,0,0.83377389534223,0,1.54402573211524,0,0,0,0,0,0,0,0,0.0308805146423048,0,0,0,0,0,0.0308805146423048,0.0926415439269145,0.0308805146423048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_39",0,0.0667366764062914,0.0222455588020971,0.0889822352083885,0,0,0,0,0,0.0444911176041943,0.0222455588020971,0.0444911176041943,0,0,0,0,0,0,0,0,0.0222455588020971,0,0.0667366764062914,0,0.400420058437748,1.29024241052163,0,0,0,0,0,0.46715673484404,0,0.0222455588020971,0.0222455588020971,0,0,0,0,0,0,0.0444911176041943,0.0667366764062914,0,0,0,0,0,1.20126017531324,0,1.31248796932373,0,0.0444911176041943,0,0,0,0,0,0,0.0667366764062914,0.0222455588020971,0,0,0,0.111227794010486,0,0,0,0.0444911176041943,0,0.0222455588020971,0,0,0,0.0222455588020971,0,0,0.200210029218874,0,0,0.0222455588020971,0
"sample_40",0,0,0,0.0545780952233851,0,0,0,0,0,0.0272890476116926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764093333127392,0,0,0,0,0,0.0272890476116926,0,0,0,0,0,0,0,0,0,0,0.0272890476116926,0,0,0.0818671428350777,0,0,1.1188509520794,0,0.191023333281848,0,0,0,0.0272890476116926,0.0272890476116926,0,0,0,0,0,0.0272890476116926,0,0,0.0272890476116926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330485867102379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826214667755948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_42",0,0,0,0,0,0,0,0,0,0.0514329767365046,0,0.0257164883682523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540046255733298,0,0,0,0,0,0,0.0257164883682523,0,0,0,0,0,0.102865953473009,0,0,0,0,0.0257164883682523,0,0,0,0.0257164883682523,1.00294304636184,0,0.720061674311064,0,0,0.0514329767365046,0,0,0,0,0,0.0257164883682523,0,0,0,0,0,0,0,0,0,0,0,0.0257164883682523,0,0,0,0,0,0,0,0,0,0
"sample_43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41484713153566,0,0.0217668789467025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435337578934049,0,0,0,0,0.935975794708206,0,0.914208915761504,0,0,0,0,0,0,0,0,0.0217668789467025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217668789467025,0,0,0,0,0,0,0,0
"sample_44",0,0.0753019589729325,0.0251006529909775,0.050201305981955,0,0,0.10040261196391,0.0753019589729325,0.125503264954887,0.175704570936842,0.20080522392782,0,0,0,0.050201305981955,0,0,0,0.050201305981955,0,0.050201305981955,0,0.0251006529909775,0,0.0251006529909775,3.06227966489925,0.0251006529909775,0,0,0,0,0,0,0,0.10040261196391,0,0,0.050201305981955,0,0,0,0.175704570936842,0,0,0,0,0.050201305981955,0,0.175704570936842,0,1.28013330253985,0,0,0,0,0,0,0.0753019589729325,0.050201305981955,0.627516324774437,0.0753019589729325,0.050201305981955,0,0,0,0.050201305981955,0,0,0,0,0,0,0.0251006529909775,0,0,0,0,0,0,0,0,0
